Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
585,http://www.ibiblio.org/openvideo/video/cmu/BOR06_001.mpg,,,,,1996,Documentary,,00:00:23,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
594,http://www.ibiblio.org/openvideo/video/cmu/BOR06_010.mpg,,,,,1996,Documentary,,00:00:55,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
602,http://www.ibiblio.org/openvideo/video/cmu/BOR07_001.mpg,,,,,1996,Documentary,Hoover Dam;Construction;Dam,00:00:35,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
613,http://www.ibiblio.org/openvideo/video/cmu/BOR07_012.mpg,,,,,1996,Documentary,Hoover Dam;Construction;Dam,00:00:52,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
618,http://www.ibiblio.org/openvideo/video/cmu/BOR11_002.mpg,,,,,1997,Documentary,,00:00:52,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
621,http://www.ibiblio.org/openvideo/video/cmu/BOR11_005.mpg,,,,,1997,Documentary,,00:00:42,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
624,http://www.ibiblio.org/openvideo/video/cmu/BOR11_008.mpg,,,,,1997,Documentary,,00:00:50,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
625,http://www.ibiblio.org/openvideo/video/cmu/BOR11_009.mpg,,,,,1997,Documentary,,00:00:46,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",No,1997,Carnegie Mellon University Informedia Project
634,http://www.ibiblio.org/openvideo/video/cmu/BOR12_009.mpg,,,,,1986,Documentary,,00:00:55,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
641,http://www.ibiblio.org/openvideo/video/cmu/BOR14_007.mpg,,,,,1987,Documentary,,00:00:10,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
647,http://www.ibiblio.org/openvideo/video/cmu/BOR17_006.mpg,,,,,1997,Documentary,Construction;Dam,00:00:49,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
653,http://www.ibiblio.org/openvideo/video/cmu/BOR19_001.mpg,,,,,1986,Documentary,,00:00:50,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
657,http://www.ibiblio.org/openvideo/video/cmu/BOR19_005.mpg,,,,,1986,Documentary,,00:00:33,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
662,http://www.ibiblio.org/openvideo/video/cmu/BOR10_009.mpg,,,,,1990,Documentary,,00:00:49,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
665,http://www.ibiblio.org/openvideo/video/cmu/BOR10_012.mpg,,,,,1990,Documentary,,00:00:35,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
666,http://www.ibiblio.org/openvideo/video/cmu/BOR10_013.mpg,,,,,1990,Documentary,,00:00:13,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
670,http://www.ibiblio.org/openvideo/video/cmu/BOR08_007.mpg,,,,,1996,Documentary,,00:00:59,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
675,http://www.ibiblio.org/openvideo/video/cmu/BOR08_012.mpg,,,,,1996,Documentary,,00:00:41,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
683,http://www.ibiblio.org/openvideo/video/cmu/BOR09_008.mpg,,,,,1991,Documentary,,00:00:57,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
688,http://www.ibiblio.org/openvideo/video/cmu/BOR10_007.mpg,,,,,1990,Documentary,,00:00:47,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1997,Carnegie Mellon University Informedia Project
732,http://www.ibiblio.org/openvideo/video/cmu/UGS02_002.mpg,,,,,1992,Documentary,Ocean;Mapping;Geology;,00:00:54,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
748,http://www.ibiblio.org/openvideo/video/cmu/UGS03_007.mpg,,,,,1993,Documentary,Natural Gas;Acid Rain;,00:00:57,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
754,http://www.ibiblio.org/openvideo/video/cmu/UGS03_013.mpg,,,,,1993,Documentary,Natural Gas;Acid Rain;,00:00:53,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
764,http://www.ibiblio.org/openvideo/video/cmu/UGS04_010.mpg,,,,,1993,Documentary,Earthquakes;Computers;,00:00:33,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
766,http://www.ibiblio.org/openvideo/video/cmu/UGS05_001.mpg,,,,,1989,Documentary,Earthquakes;,00:00:46,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
776,http://www.ibiblio.org/openvideo/video/cmu/UGS05_011.mpg,,,,,1989,Documentary,Earthquakes;,00:00:47,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
778,http://www.ibiblio.org/openvideo/video/cmu/UGS06_001.mpg,,,,,1988,Documentary,Earthquakes;,00:00:09,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
783,http://www.ibiblio.org/openvideo/video/cmu/UGS06_006.mpg,,,,,1988,Documentary,Earthquakes;,00:00:40,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
784,http://www.ibiblio.org/openvideo/video/cmu/UGS06_007.mpg,,,,,1988,Documentary,Earthquakes;,00:00:14,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
785,http://www.ibiblio.org/openvideo/video/cmu/UGS07_001.mpg,,,,,1991,Documentary,Ocean;Radioactive waste;San Francisco;,00:00:58,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
798,http://www.ibiblio.org/openvideo/video/cmu/UGS07_014.mpg,,,,,1991,Documentary,Ocean;Radioactive waste;San Francisco;,00:00:44,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
799,http://www.ibiblio.org/openvideo/video/cmu/UGS08_001.mpg,,,,,1996,Documentary,Ocean;Geology;,00:00:23,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
811,http://www.ibiblio.org/openvideo/video/cmu/UGS08_013.mpg,,,,,1996,Documentary,Ocean;Geology;,00:00:57,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
819,http://www.ibiblio.org/openvideo/video/cmu/UGS08_021.mpg,,,,,1996,Documentary,Ocean;Geology;,00:00:29,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
827,http://www.ibiblio.org/openvideo/video/cmu/UGS09_008.mpg,,,,,1995,Documentary,Oil and Gas;,00:00:58,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
832,http://www.ibiblio.org/openvideo/video/cmu/UGS09_013.mpg,,,,,1995,Documentary,Oil and Gas;,00:00:55,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
