Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
3999,http://archive.org/download/LuckyStr1948/LuckyStr1948.mpg,http://archive.org/download/LuckyStr1948/LuckyStr1948.mpeg,http://movies03.archive.org/0/movies/LuckyStr1948/LuckyStr1948.avi,,,1948,Ephemeral,Advertising: Television commercials;Substance abuse: Tobacco;Animation: Stop-motion;,00:01:00,No,Yes,n/a,English,American Tobacco Company,Internet Archive,No,2001,Internet Archive
3997,,http://archive.org/download/Looktoth1953/Looktoth1953.mpeg,http://movies03.archive.org/0/movies/Looktoth1953/Looktoth1953.avi,,,1953,Ephemeral,Land use;Environment;Conservation;,00:19:39,Yes,Yes,n/a,English,Twentieth Century Fund,Internet Archive,No,2001,Internet Archive
3998,http://archive.org/download/LookingA1947/LookingA1947.mpg,http://archive.org/download/LookingA1947/LookingA1947.mpeg,http://www.ibiblio.org/openvideo/video/mpg4/91.avi,,,1947,Ephemeral,Materials: Plastics;Design;,00:04:39,Yes,Yes,n/a,English,Rohm & Haas Co.,Internet Archive,No,2001,Internet Archive
3994,http://archive.org/download/LookatCa1955/LookatCa1955.mpg,http://archive.org/download/LookatCa1955/LookatCa1955.mpeg,http://movies03.archive.org/0/movies/LookatCa1955/LookatCa1955.avi,,,1955,Ephemeral,Cold War;Economics;Anti-communism;,00:13:07,No,Yes,n/a,English,National Education Program,Internet Archive,No,2001,Internet Archive
3993,,http://archive.org/download/LongWayH1956/LongWayH1956.mpeg,http://movies03.archive.org/0/movies/LongWayH1956/LongWayH1956.avi,,,0,Ephemeral,"Social services;St. Louis, Missouri;Cities;",00:07:55,No,Yes,n/a,English,United Fund of Greater St. Louis,Internet Archive,No,2001,Internet Archive
3992,,http://archive.org/download/LongStre1957/LongStre1957.mpeg,http://movies03.archive.org/0/movies/LongStre1957/LongStre1957.avi,,,1957,Ephemeral,Social services;Salvation Army;San Francisco Bay Area;,00:12:49,No,Yes,n/a,English,Salvation Army Redevelopment Fund,Internet Archive,No,2001,Internet Archive
3990,http://archive.org/download/LivingSt1958/LivingSt1958.mpg,http://archive.org/download/LivingSt1958/LivingSt1958.mpeg,http://movies03.archive.org/0/movies/LivingSt1958/LivingSt1958.avi,,,1958,Ephemeral,Media: Phonograph;,00:07:42,Yes,Yes,n/a,English,"RCA Victor, Radio and Victrola Division",Internet Archive,No,2001,Internet Archive
3987,,http://archive.org/download/Lindberg1927/Lindberg1927.mpeg,http://movies03.archive.org/0/movies/Lindberg1927/Lindberg1927.avi,,,1927,Ephemeral,"Aviation: History;Lindbergh, Charles Augustus;",00:07:04,No,No,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3985,http://archive.org/download/LimaFami1944/LimaFami1944.mpg,http://archive.org/download/LimaFami1944/LimaFami1944.mpeg,http://movies03.archive.org/0/movies/LimaFami1944/LimaFami1944.avi,,,1944,Ephemeral,Peru;Latin America;South America;,00:18:09,No,Yes,n/a,English,U.S. Office of the Coordinator of Inter-American Affairs,Internet Archive,No,2001,Internet Archive
3986,,http://archive.org/download/LincolnH1915/LincolnH1915.mpeg,http://movies03.archive.org/0/movies/LincolnH1915/LincolnH1915.avi,,,1915,Ephemeral,San Francisco: Infrastructure;Infrastructure: Roads and highways;Celebrations;,00:01:03,No,No,n/a,English,Unknown,Internet Archive,No,2001,Internet Archive
3984,,http://archive.org/download/Lima1944/Lima1944.mpeg,http://movies03.archive.org/0/movies/Lima1944/Lima1944.avi,,,1944,Ephemeral,Peru;Latin America;,00:15:37,No,Yes,n/a,English,U.S. Office of Inter-American Affairs,Internet Archive,No,2001,Internet Archive
3983,http://archive.org/download/LifeInsu1948/LifeInsu1948.mpg,http://archive.org/download/LifeInsu1948/LifeInsu1948.mpeg,http://movies03.archive.org/0/movies/LifeInsu1948/LifeInsu1948.avi,,,1948,Ephemeral,Occupations: Insurance;,00:10:16,No,Yes,n/a,English,"Vocational Guidance Films, Inc.",Internet Archive,No,2001,Internet Archive
3982,http://archive.org/download/Lifeinth1949/Lifeinth1949.mpg,http://archive.org/download/Lifeinth1949/Lifeinth1949.mpeg,http://movies03.archive.org/0/movies/Lifeinth1949/Lifeinth1949.avi,,,1949,Ephemeral,California: History;California: Central Valley;,00:10:05,Yes,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3981,http://archive.org/download/Libraria1947/Libraria1947.mpg,http://archive.org/download/Libraria1947/Libraria1947.mpeg,http://movies03.archive.org/0/movies/Libraria1947/Libraria1947.avi,,,1947,Ephemeral,Occupations: Librarians;,00:10:08,No,Yes,n/a,English,"Vocational Guidance Films, Inc.",Internet Archive,No,2001,Internet Archive
3978,,http://archive.org/download/LetsShar1950/LetsShar1950.mpeg,http://movies03.archive.org/0/movies/LetsShar1950/LetsShar1950.avi,,,1950,Ephemeral,Social guidance;,00:10:25,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3979,,http://archive.org/download/LetterFr1944/LetterFr1944.mpeg,http://movies03.archive.org/0/movies/LetterFr1944/LetterFr1944.avi,,,1944,Ephemeral,World War II: Homefront;,00:13:51,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
3976,http://archive.org/download/LetsGoBo1955_2/LetsGoBo1955_2.mpg,http://archive.org/download/LetsGoBo1955_2/LetsGoBo1955_2.mpeg,http://movies03.archive.org/0/movies/LetsGoBo1955_2/LetsGoBo1955_2.avi,,,1955,Ephemeral,Sports: Bowling;Recreation;Gender roles;,00:13:02,No,Yes,n/a,English,Bowling Proprietors Association of America,Internet Archive,No,2001,Internet Archive
3977,http://archive.org/download/LetsPlay1949/LetsPlay1949.mpg,http://archive.org/download/LetsPlay1949/LetsPlay1949.mpeg,http://movies03.archive.org/0/movies/LetsPlay1949/LetsPlay1949.avi,,,1949,Ephemeral,Social guidance;Social guidance: Etiquette;,00:08:41,No,Yes,n/a,English,N/A,Internet Archive,No,2001,Internet Archive
