video_id,title,description,genre,keywords,duration,popularity,video_url,image_path
6164,NASASciFiles - How the Ear Works,NASASciFiles - How the Ear Works  (2003) NASA Why? Files segment explaining how we hear sounds.,Educational,Hearing; Ear Canal; Ear Drum; Cochlea; Auditory Nerve; Brain; Frequency;,00:00:56,2523,https://open-video.org/details.php?videoid=6164,./results_files/NASAWF-HowTheEarWorks_01171.gif
6249,NASAKSN - Meter,NASAKSN - Meter  (2003) How long is a meter?,Educational,Jacob Pennington; Metric; Millimeter; Centimeter; Decimeter;,00:00:50,1557,https://open-video.org/details.php?videoid=6249,./results_files/NASAKSN-Meter_00676.gif
6245,NASAKSN - Go,NASAKSN - Go  (2003) What makes things go?,Educational,Stored Energy; Kintetic Energy; Force; Power Source; Tyrone Green;,00:00:54,2424,https://open-video.org/details.php?videoid=6245,./results_files/NASAKSN-Go_00624.gif
6256,NASAKSNe - El Cielo Azul,NASAKSNe - El Cielo Azul  (2003) Por que es el cielo azul?,Educational,Ashley Canciobello; Luz Blanca;,00:00:57,2330,https://open-video.org/details.php?videoid=6256,./results_files/NASAKSN-ElCieloAzul_00676.gif
6252,NASAKSN - Sound,NASAKSN - Sound  (2003) What is sound?,Educational,Tori Glenn; Vibration; Energy; Ear Drum;,00:00:55,1502,https://open-video.org/details.php?videoid=6252,./results_files/NASAKSN-Sound_00331.gif
6251,NASAKSN - Popcorn,NASAKSN - Popcorn  (2003) What makes popcorn pop?,Educational,Bianca Baker; Heat Energy; Expand; Water; Steam;,00:00:55,1771,https://open-video.org/details.php?videoid=6251,./results_files/NASAKSN-Popcorn_00571.gif
6243,NASAKSN - Blue Sky,NASAKSN - Blue Sky  (2003) Why is the sky blue?,Educational,Alexandra Samsell; Rainbow; White Light; Gas; Scatter;,00:00:57,1490,https://open-video.org/details.php?videoid=6243,./results_files/NASAKSN-BlueSky_00406.gif
6432,NASAKSN - Aircraft Noise,NASAKSN - Aircraft Noise  (2003) NASA Kids Science News segment explaining what NASA is doing about airplane noise.,Educational,NASA Kids Science News; Sound; Wave; Amplitude; Airplane Noise; Active Noise Control; Engine; Slats; Flaps; Landing Gear; Technology;,00:00:58,2032,https://open-video.org/details.php?videoid=6432,./results_files/NASAKSN-AircraftNoise_00248.gif
6433,NASAKSN - Atomic Clocks,NASAKSN - Atomic Clocks  (2003) NASA Kids Science News segment explaining how you tell time in space.,Educational,NASA Kids Science News; Space; Time; Clocks; Space Travel; Cesium; Atoms; Einstein; Atomic Clock; International Space Station;,00:00:58,2296,https://open-video.org/details.php?videoid=6433,./results_files/NASAKSN-AtomicClocks_00886.gif
6434,NASAKSN - Bits and Bytes,NASAKSN - Bits and Bytes  (2003) NASA Kids Science News segment explaining the difference between bits and bytes.,Educational,NASA Kids Science News; Computer; Memory; Storage; Binary; Zero; One; Bits; Bytes;,00:00:58,1694,https://open-video.org/details.php?videoid=6434,./results_files/NASAKSN-BitsAndBytes_01111.gif
6435,NASAKSN - Boiling Fluids,NASAKSN - Boiling Fluids  (2003) NASA Kids Science News segment explaining why NASA is boiling foods in space.,Educational,NASA Kids Science News; Boil; Microgravity; Bubble; Vapor; Convection; Buoyancy; Dense; Weightless; Experiment; Space; Technology; Energy Transfer;,00:00:58,1231,https://open-video.org/details.php?videoid=6435,./results_files/NASAKSN-BoilingFluids_00820.gif
6436,NASAKSN - CDs,NASAKSN - CDs  (2003) NASA Kids Science News segment explaining the technology of CDs.,Educational,NASA Kids Science News; Sound; Digital Code; CD; Technology; Music; Laser Beam; Pits; Micron; Track;,00:00:58,1564,https://open-video.org/details.php?videoid=6436,./results_files/NASAKSN-CDs_00976.gif
