Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
391,http://www.ibiblio.org/openvideo/video/umd/indi118.mpg,,,,,0,Documentary,,00:01:19,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
392,http://www.ibiblio.org/openvideo/video/umd/indi119.mpg,,,,,0,Documentary,,00:01:29,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
393,http://www.ibiblio.org/openvideo/video/umd/winn001001.mpg,,,,,0,Documentary,NASA;Space;,00:00:59,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
394,http://www.ibiblio.org/openvideo/video/umd/winn001002.mpg,,,,,0,Documentary,NASA;Space;,00:01:05,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
395,http://www.ibiblio.org/openvideo/video/umd/winn001003.mpg,,,,,0,Documentary,NASA;Space;,00:05:19,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
396,http://www.ibiblio.org/openvideo/video/umd/winn001004.mpg,,,,,0,Documentary,NASA;Space;,00:01:50,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
397,http://www.ibiblio.org/openvideo/video/umd/winn001005.mpg,,,,,0,Documentary,NASA;Space;,00:01:29,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
398,http://www.ibiblio.org/openvideo/video/umd/winn001006.mpg,,,,,0,Documentary,NASA;Space;,00:01:15,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
399,http://www.ibiblio.org/openvideo/video/umd/winn001007.mpg,,,,,0,Documentary,NASA;Space;,00:01:57,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
400,http://www.ibiblio.org/openvideo/video/umd/winn001008.mpg,,,,,0,Documentary,NASA;Space;,00:06:04,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
401,http://www.ibiblio.org/openvideo/video/umd/winn001009.mpg,,,,,0,Documentary,NASA;Space;,00:00:53,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
411,http://www.ibiblio.org/openvideo/video/umd/HURR001.mpg,,,,,0,Documentary,Hurricanes;,00:03:54,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
413,http://www.ibiblio.org/openvideo/video/umd/HURR003.mpg,,,,,0,Documentary,Hurricanes;,00:00:12,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
414,http://www.ibiblio.org/openvideo/video/umd/HURR004.mpg,,,,,0,Documentary,Hurricanes;,00:00:48,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
431,http://www.ibiblio.org/openvideo/video/umd/apol001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:58,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
432,http://www.ibiblio.org/openvideo/video/umd/apoll002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:03:44,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
433,http://www.ibiblio.org/openvideo/video/umd/apoll003.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:18,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
434,http://www.ibiblio.org/openvideo/video/umd/apo13001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:34,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
435,http://www.ibiblio.org/openvideo/video/umd/apo13002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:53,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
436,http://www.ibiblio.org/openvideo/video/umd/apo14001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:32,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
437,http://www.ibiblio.org/openvideo/video/umd/apo14002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
438,http://www.ibiblio.org/openvideo/video/umd/apo14003.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:45,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
439,http://www.ibiblio.org/openvideo/video/umd/apo14004.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:16,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
440,http://www.ibiblio.org/openvideo/video/umd/apo14005.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:36,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
441,http://www.ibiblio.org/openvideo/video/umd/apo14006.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:07,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
442,http://www.ibiblio.org/openvideo/video/umd/apo14007.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:18,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
443,http://www.ibiblio.org/openvideo/video/umd/apo15001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:47,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
444,http://www.ibiblio.org/openvideo/video/umd/apo15002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:56,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
445,http://www.ibiblio.org/openvideo/video/umd/apo16001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:59,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
446,http://www.ibiblio.org/openvideo/video/umd/apo16002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:54,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
447,http://www.ibiblio.org/openvideo/video/umd/apo16003.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:19,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
448,http://www.ibiblio.org/openvideo/video/umd/apo16004.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:42,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
449,http://www.ibiblio.org/openvideo/video/umd/apo16005.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
450,http://www.ibiblio.org/openvideo/video/umd/apo16006.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:57,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
451,http://www.ibiblio.org/openvideo/video/umd/apo16007.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:03,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
452,http://www.ibiblio.org/openvideo/video/umd/apo16008.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:08,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
453,http://www.ibiblio.org/openvideo/video/umd/apo16009.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:01,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
454,http://www.ibiblio.org/openvideo/video/umd/apo16010.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:53,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
455,http://www.ibiblio.org/openvideo/video/umd/apo16011.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:19,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
456,http://www.ibiblio.org/openvideo/video/umd/apo16012.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:04:07,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
457,http://www.ibiblio.org/openvideo/video/umd/apo16013.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:08,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
